127.0.0.1, 2016-05-13 21:39:39, GET, /app/default/images/card-image.jpg, HTTP/1.1, 404, 0.029790
127.0.0.1, 2016-05-13 21:39:39, GET, /app/static/semantic-ui/themes/default/assets/fonts/icons.woff2, HTTP/1.1, 304, 0.000554
127.0.0.1, 2016-05-13 21:39:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000357
127.0.0.1, 2016-05-13 21:39:46, GET, /app/default/index, HTTP/1.1, 200, 0.036002
127.0.0.1, 2016-05-13 21:39:47, GET, /app/static/semantic-ui/semantic.min.css, HTTP/1.1, 304, 0.000556
127.0.0.1, 2016-05-13 21:39:47, GET, /app/static/jquery/jquery-2.2.3.min.js, HTTP/1.1, 304, 0.000961
127.0.0.1, 2016-05-13 21:39:47, GET, /app/static/semantic-ui/semantic.min.js, HTTP/1.1, 304, 0.000584
127.0.0.1, 2016-05-13 21:39:47, GET, /app/default/js/script.js, HTTP/1.1, 404, 0.023677
127.0.0.1, 2016-05-13 21:39:47, GET, /app/default/images/card-image.jpg, HTTP/1.1, 404, 0.026656
127.0.0.1, 2016-05-13 21:39:47, GET, /app/default/images/card-image.jpg, HTTP/1.1, 404, 0.020346
127.0.0.1, 2016-05-13 21:39:47, GET, /app/static/semantic-ui/themes/default/assets/fonts/icons.woff2, HTTP/1.1, 304, 0.000534
127.0.0.1, 2016-05-13 21:39:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000385
127.0.0.1, 2016-05-13 21:42:10, GET, /app/default/index, HTTP/1.1, 200, 0.050653
127.0.0.1, 2016-05-13 21:42:10, GET, /app/static/semantic-ui/semantic.min.css, HTTP/1.1, 304, 0.000925
127.0.0.1, 2016-05-13 21:42:10, GET, /app/static/jquery/jquery-2.2.3.min.js, HTTP/1.1, 304, 0.000738
127.0.0.1, 2016-05-13 21:42:10, GET, /app/static/semantic-ui/semantic.min.js, HTTP/1.1, 304, 0.000720
127.0.0.1, 2016-05-13 21:42:10, GET, /app/static/js/semantic-start.js, HTTP/1.1, 200, 0.000842
127.0.0.1, 2016-05-13 21:42:10, GET, /app/default/js/script.js, HTTP/1.1, 404, 0.022509
127.0.0.1, 2016-05-13 21:42:10, GET, /app/default/images/card-image.jpg, HTTP/1.1, 404, 0.016830
127.0.0.1, 2016-05-13 21:42:11, GET, /app/default/images/card-image.jpg, HTTP/1.1, 404, 0.020817
127.0.0.1, 2016-05-13 21:42:11, GET, /app/static/semantic-ui/themes/default/assets/fonts/icons.woff2, HTTP/1.1, 304, 0.000388
127.0.0.1, 2016-05-13 21:42:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000399
127.0.0.1, 2016-05-13 21:43:28, GET, /app/default/index, HTTP/1.1, 200, 0.078961
127.0.0.1, 2016-05-13 21:43:29, GET, /app/static/semantic-ui/semantic.min.css, HTTP/1.1, 304, 0.000692
127.0.0.1, 2016-05-13 21:43:29, GET, /app/static/jquery/jquery-2.2.3.min.js, HTTP/1.1, 304, 0.002308
127.0.0.1, 2016-05-13 21:43:29, GET, /app/static/semantic-ui/semantic.min.js, HTTP/1.1, 304, 0.000726
127.0.0.1, 2016-05-13 21:43:29, GET, /app/static/js/semantic-start.js, HTTP/1.1, 304, 0.000687
127.0.0.1, 2016-05-13 21:43:29, GET, /app/default/images/card-image.jpg, HTTP/1.1, 404, 0.026147
127.0.0.1, 2016-05-13 21:43:29, GET, /app/default/images/card-image.jpg, HTTP/1.1, 404, 0.023809
127.0.0.1, 2016-05-13 21:43:30, GET, /app/static/semantic-ui/themes/default/assets/fonts/icons.woff2, HTTP/1.1, 304, 0.000586
